trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.42, 'e': 1.0}",25,0,-96.49316664903449,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.42, 'e': 0.995}",25,0,-32.2065418860965,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.42, 'e': 0.990025}",25,0,-142.71783912188084,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.42, 'e': 0.985074875}",20,12,-8.316661181914501,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.42, 'e': 0.980149500625}",30,17,-28.01070951939671,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.42, 'e': 0.975248753121875}",25,0,-103.48867185034602,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.42, 'e': 0.9703725093562656}",25,0,-63.29995934367526,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.42, 'e': 0.9655206468094842}",20,0,-96.52907163805133,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.42, 'e': 0.9606930435754368}",20,0,-74.74895273762657,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.42, 'e': 0.9558895783575596}",20,0,-173.26482085655812,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.42, 'e': 0.9511101304657719}",20,0,-122.02362632925382,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.42, 'e': 0.946354579813443}",20,0,-71.03466225137379,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.42, 'e': 0.9416228069143757}",25,0,-57.57362072643489,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.42, 'e': 0.9369146928798039}",30,0,-193.33770860073324,"{0: 17, 1: 1, 2: 7, 3: 3, 4: 2}",0
15,False,"{'a': 0.42, 'e': 0.9322301194154049}",25,0,-169.07785162898898,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.42, 'e': 0.9275689688183278}",20,0,-173.3335447787095,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.42, 'e': 0.9229311239742362}",20,0,-138.94253835377728,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.42, 'e': 0.918316468354365}",20,0,-26.478264356811188,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.42, 'e': 0.9137248860125932}",25,0,-63.44028574727356,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.42, 'e': 0.9091562615825302}",25,0,-111.0251099661774,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.42, 'e': 0.9046104802746175}",20,0,-39.673108919125085,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.42, 'e': 0.9000874278732445}",20,0,-63.06327842837649,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.42, 'e': 0.8955869907338783}",25,0,-192.11733202900484,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
24,False,"{'a': 0.42, 'e': 0.8911090557802088}",20,7,-60.37263753524458,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.42, 'e': 0.8866535105013078}",20,0,-42.2895879840462,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.42, 'e': 0.8822202429488012}",25,0,-121.76188384599705,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.42, 'e': 0.8778091417340572}",20,0,-143.54281165085706,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.42, 'e': 0.873420096025387}",20,0,-133.647702650146,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.42, 'e': 0.86905299554526}",30,0,-135.82343110997977,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.42, 'e': 0.8647077305675337}",20,0,-71.3088310513113,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.42, 'e': 0.8603841919146961}",20,0,-139.78846893493,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
32,False,"{'a': 0.42, 'e': 0.8560822709551226}",25,0,-68.19083437528599,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.42, 'e': 0.8518018596003469}",20,0,-79.06497180458457,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.42, 'e': 0.8475428503023452}",25,0,-57.61918830635474,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.42, 'e': 0.8433051360508335}",30,8,-133.2662162799729,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
36,False,"{'a': 0.42, 'e': 0.8390886103705792}",20,0,-38.53594303976981,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
