trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.60295115707342,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.78583132844128,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.83042069833871,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.89981468936017,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.01441681212188,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.95784394936578,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.44557525709301,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.28306119137635,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.90636801072203,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.84775595843087,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-326.733593344613,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,12,-71.21028198127232,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.84985401397297,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.96891125517693,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-55.26642948011577,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.32290848529766,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.57773023399471,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.10592842611784,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.45436165402216,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-106.70136384384028,"{0: 21, 1: 3, 2: 10, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-98.48833144364129,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.16445002160808,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,13,-63.7980411824115,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.13981143106751,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.69521741237959,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.03789807533843,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.66674224445572,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.13531829804149,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-99.79906915595052,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,11,-104.60059548963372,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
